posto portal da bahia 1 eireli                                                                                                                 04/03/2024 10:00
---------------------------------------------------------------------------------------------------------------------------------------------------------------

                                                                         contas pagas
                                                                 empresa: 1 - portal da bahia
                                                                conta: 2.1.1 - contas a pagar
                                                               período: 01/03/2024 a 31/03/2024
                                                                     agrupar: não agrupar


+------------+-----------+------------+--------------------+----------+--------------------+---------------+------------+----------+----------+---------------+
| pagamento  | documento | vencimento |     fornecedor     | c. part. |     observação     | valor título  |  desconto  |  multa   |  juros   |   valor pago  |
| 04/03/2024 |  -457803a | 12/02/2024 | fornecedor não inf | 1.2      | larco              |    315.200,00 |       0,00 |     0,00 |     0,00 |    315.200,00 |
| 04/03/2024 |  126248-4 | 12/02/2024 | fornecedor não inf | 1.2      | cedep              |        450,94 |       0,00 |     0,00 |     0,00 |        450,94 |
| 04/03/2024 |  28723-1  | 13/02/2024 | fornecedor não inf | 1.2      | redux              |     11.400,00 |       0,00 |     0,00 |     0,00 |     11.400,00 |
| 04/03/2024 |   16923   | 13/02/2024 | fornecedor não inf | 1.2      | cintra             |        209,70 |       0,00 |     0,00 |     0,00 |        209,70 |
| 04/03/2024 | 010.141/3 | 13/02/2024 | fornecedor não inf | 1.2      | alcn               |        400,66 |       0,00 |     0,00 |     0,00 |        400,66 |
| 04/03/2024 | 1-458070a | 14/02/2024 | fornecedor não inf | 1.2      | larco              |    314.700,00 |       0,00 |     0,00 |     0,00 |    314.700,00 |
| 04/03/2024 |  169678 2 | 14/02/2024 | fornecedor não inf | 1.2      | lubritec           |        698,14 |       0,00 |     0,00 |     0,00 |        698,14 |
| 04/03/2024 | 966003667 | 15/02/2024 | fornecedor não inf | 1.2      | cora               |        350,00 |       0,00 |     0,00 |     0,00 |        350,00 |
| 04/03/2024 | 988017099 | 15/02/2024 | fornecedor não inf | 1.2      | cora               |        175,00 |       0,00 |     0,00 |     0,00 |        175,00 |
| 04/03/2024 |    9989   | 15/02/2024 | fornecedor não inf | 1.2      | joao carlos        |         80,00 |       0,00 |     0,00 |     0,00 |         80,00 |
| 04/03/2024 | -98541-04 | 15/02/2024 | fornecedor não inf | 1.2      | rodobens           |        720,00 |       0,00 |     0,00 |     0,00 |        720,00 |
| 04/03/2024 | -99015-03 | 15/02/2024 | fornecedor não inf | 1.2      | rodobens           |        600,00 |       0,00 |     0,00 |     0,00 |        600,00 |
| 04/03/2024 |  27275100 | 15/02/2024 | fornecedor não inf | 1.2      | consult center     |        889,18 |       0,00 |     0,00 |     0,00 |        889,18 |
| 04/03/2024 |   65169   | 15/02/2024 | fornecedor não inf | 1.2      | at materiais       |        555,72 |       0,00 |     0,00 |     0,00 |        555,72 |
| 04/03/2024 | 000000399 | 15/02/2024 | fornecedor não inf | 1.2      | centralsul         |        633,00 |       0,00 |     0,00 |     0,00 |        633,00 |
| 04/03/2024 |  2400 3/4 | 16/02/2024 | fornecedor não inf | 1.2      | hp                 |        440,00 |       0,00 |     0,00 |     0,00 |        440,00 |
| 04/03/2024 |   619609  | 16/02/2024 | fornecedor não inf | 1.2      | e b materiais      |        190,00 |       0,00 |     0,00 |     0,00 |        190,00 |
| 04/03/2024 |  16022024 | 16/02/2024 | fornecedor não inf | 1.2      | wl tacografos      |        250,00 |       0,00 |     0,00 |     0,00 |        250,00 |
| 04/03/2024 | 018727/02 | 16/02/2024 | fornecedor não inf | 1.2      | gp                 |        834,95 |       0,00 |     0,00 |     0,00 |        834,95 |
| 04/03/2024 | 0292293/2 | 18/02/2024 | fornecedor não inf | 1.2      | alcn               |        770,00 |       0,00 |     0,00 |     0,00 |        770,00 |
| 04/03/2024 |  28875-1  | 19/02/2024 | fornecedor não inf | 1.2      | redux              |     16.150,00 |       0,00 |     0,00 |     0,00 |     16.150,00 |
| 04/03/2024 |    3918   | 19/02/2024 | fornecedor não inf | 1.2      | valdeci            |        150,00 |       0,00 |     0,00 |     0,00 |        150,00 |
| 04/03/2024 | 015810/04 | 20/02/2024 | fornecedor não inf | 1.2      | gp                 |        713,78 |       0,00 |     0,00 |     0,00 |        713,78 |
| 04/03/2024 | 748.541/1 | 20/02/2024 | fornecedor não inf | 1.2      | tambasa            |        827,16 |       0,00 |     0,00 |     0,00 |        827,16 |
| 04/03/2024 | 899554858 | 20/02/2024 | fornecedor não inf | 1.2      | jose calisto       |      2.251,00 |       0,00 |     0,00 |     0,00 |      2.251,00 |
| 04/03/2024 |  141782-1 | 21/02/2024 | fornecedor não inf | 1.2      | cedep              |      1.450,68 |       0,00 |     0,00 |     0,00 |      1.450,68 |
| 04/03/2024 |  21022024 | 21/02/2024 | fornecedor não inf | 1.2      | big liu            |        631,00 |       0,00 |     0,00 |     0,00 |        631,00 |
| 04/03/2024 |   34642   | 22/02/2024 | fornecedor não inf | 1.2      | 3 m                |      3.695,00 |       0,00 |     0,00 |     0,00 |      3.695,00 |
| 04/03/2024 |    0197   | 23/02/2024 | fornecedor não inf | 1.2      | gds                |      2.946,00 |       0,00 |     0,00 |     0,00 |      2.946,00 |
| 04/03/2024 |    123    | 23/02/2024 | fornecedor não inf | 1.2      | rafael             |      2.301,05 |       0,00 |     0,00 |     0,00 |      2.301,05 |
| 04/03/2024 |    5856   | 23/02/2024 | fornecedor não inf | 1.2      | cofins             |      2.690,58 |       0,00 |     0,00 |     0,00 |      2.690,58 |
| 04/03/2024 |    6912   | 23/02/2024 | fornecedor não inf | 1.2      | pis                |        584,14 |       0,00 |     0,00 |     0,00 |        584,14 |
| 04/03/2024 | 8882609-5 | 24/02/2024 | fornecedor não inf | 1.2      | iptu               |        304,98 |       0,00 |     0,00 |     0,00 |        304,98 |
| 04/03/2024 |  1701363  | 24/02/2024 | fornecedor não inf | 1.2      | embasa             |         68,04 |       0,00 |     0,00 |     0,00 |         68,04 |
| 04/03/2024 |  35833/1  | 24/02/2024 | fornecedor não inf | 1.2      | jvc                |        845,00 |       0,00 |     0,00 |     0,00 |        845,00 |
| 04/03/2024 |   21307   | 25/02/2024 | fornecedor não inf | 1.2      | icms               |        281,64 |       0,00 |     0,00 |     0,00 |        281,64 |
| 04/03/2024 |  29065-1  | 25/02/2024 | fornecedor não inf | 1.2      | redux              |      7.600,00 |       0,00 |     0,00 |     0,00 |      7.600,00 |
| 04/03/2024 |   963/1   | 25/02/2024 | fornecedor não inf | 1.2      | carlinhos          |        600,00 |       0,00 |     0,00 |     0,00 |        600,00 |
| 04/03/2024 | 460040950 | 26/02/2024 | fornecedor não inf | 1.2      | tesouro            |         90,09 |       0,00 |     0,00 |     0,00 |         90,09 |
| 04/03/2024 |  26022024 | 26/02/2024 | fornecedor não inf | 1.2      | wl tacografos      |        380,00 |       0,00 |     0,00 |     0,00 |        380,00 |
| 04/03/2024 | 016215/04 | 27/02/2024 | fornecedor não inf | 1.2      | gp                 |        275,90 |       0,00 |     0,00 |     0,00 |        275,90 |
| 04/03/2024 |  126248-5 | 27/02/2024 | fornecedor não inf | 1.2      | cedep              |        450,94 |       0,00 |     0,00 |     0,00 |        450,94 |
| 04/03/2024 | 191513875 | 27/02/2024 | fornecedor não inf | 1.2      | martins            |      5.338,38 |       0,00 |     0,00 |     0,00 |      5.338,38 |
| 04/03/2024 |  3562776  | 27/02/2024 | fornecedor não inf | 1.2      | hf mecanica        |      2.800,00 |       0,00 |     0,00 |     0,00 |      2.800,00 |
| 04/03/2024 | 402270857 | 27/02/2024 | fornecedor não inf | 1.2      | borracharia        |        130,00 |       0,00 |     0,00 |     0,00 |        130,00 |
| 04/03/2024 |    123    | 29/02/2024 | fornecedor não inf | 1.2      | janeiro            |     23.101,85 |       0,00 |     0,00 |     0,00 |     23.101,85 |
| 04/03/2024 | 730.431/2 | 29/02/2024 | fornecedor não inf | 1.2      | tambasa            |        622,94 |       0,00 |     0,00 |     0,00 |        622,94 |
| 04/03/2024 | 100751-01 | 29/02/2024 | fornecedor não inf | 1.2      | rodobens           |        360,00 |       0,00 |     0,00 |     0,00 |        360,00 |
| 04/03/2024 |    2484   | 29/02/2024 | fornecedor não inf | 1.2      | csll               |      3.709,26 |       0,00 |     0,00 |     0,00 |      3.709,26 |
| 04/03/2024 | 010.092/4 | 29/02/2024 | fornecedor não inf | 1.2      | alcn               |        592,75 |       0,00 |     0,00 |     0,00 |        592,75 |
| 04/03/2024 |    2362   | 29/02/2024 | fornecedor não inf | 1.2      | irpj               |      8.303,50 |       0,00 |     0,00 |     0,00 |      8.303,50 |
| 04/03/2024 | 0504940-7 | 29/02/2024 | fornecedor não inf | 1.2      | seguro             |      3.325,65 |       0,00 |     0,00 |     0,00 |      3.325,65 |
| 04/03/2024 | 0720487-1 | 20/03/2024 | fornecedor não inf | 1.2      | receita            |     14.944,77 |       0,00 |     0,00 |     0,00 |     14.944,77 |
| 04/03/2024 | 169310135 | 05/02/2024 | raizen combustivei | 1.2      |                    |    103.750,59 |       0,00 |     0,00 |     0,00 |    103.750,59 |
| 04/03/2024 | 170018158 | 05/02/2024 | raizen combustivei | 1.2      |                    |     51.473,58 |       0,00 |     0,00 |     0,00 |     51.473,58 |
| 04/03/2024 | 170018158 | 05/02/2024 | raizen combustivei | 1.2      |                    |     51.473,58 |       0,00 |     0,00 |     0,00 |     51.473,58 |
